n_nodes,model_path,prune (y/n),|Q|,|e|,map/mpe,order_method,iteration,time
20,testing/rand_bn_nodes_20_1.BIFXML,True,6,6,map,min_degree,1,1274542000
20,testing/rand_bn_nodes_20_1.BIFXML,True,6,6,map,min_degree,2,1460577000
20,testing/rand_bn_nodes_20_1.BIFXML,True,6,6,map,min_degree,3,1367131000
20,testing/rand_bn_nodes_20_1.BIFXML,True,6,6,map,min_degree,4,1495811000
20,testing/rand_bn_nodes_20_2.BIFXML,True,6,6,map,min_degree,0,548714000
20,testing/rand_bn_nodes_20_2.BIFXML,True,6,6,map,min_degree,1,512693000
20,testing/rand_bn_nodes_20_2.BIFXML,True,6,6,map,min_degree,2,477963000
20,testing/rand_bn_nodes_20_2.BIFXML,True,6,6,map,min_degree,3,485618000
20,testing/rand_bn_nodes_20_2.BIFXML,True,6,6,map,min_degree,4,454450000
20,testing/rand_bn_nodes_20_3.BIFXML,True,6,6,map,min_degree,0,829570000
20,testing/rand_bn_nodes_20_3.BIFXML,True,6,6,map,min_degree,1,956220000
20,testing/rand_bn_nodes_20_3.BIFXML,True,6,6,map,min_degree,2,847428000
20,testing/rand_bn_nodes_20_3.BIFXML,True,6,6,map,min_degree,3,746942000
20,testing/rand_bn_nodes_20_3.BIFXML,True,6,6,map,min_degree,4,887568000
20,testing/rand_bn_nodes_20_4.BIFXML,True,6,6,map,min_degree,0,1767215000
20,testing/rand_bn_nodes_20_4.BIFXML,True,6,6,map,min_degree,1,2223999000
20,testing/rand_bn_nodes_20_4.BIFXML,True,6,6,map,min_degree,2,2299335000
20,testing/rand_bn_nodes_20_4.BIFXML,True,6,6,map,min_degree,3,2356914000
20,testing/rand_bn_nodes_20_4.BIFXML,True,6,6,map,min_degree,4,1867002000
20,testing/rand_bn_nodes_20_5.BIFXML,True,6,6,map,min_degree,0,982872000
20,testing/rand_bn_nodes_20_5.BIFXML,True,6,6,map,min_degree,1,1082702000
20,testing/rand_bn_nodes_20_5.BIFXML,True,6,6,map,min_degree,2,894983000
20,testing/rand_bn_nodes_20_5.BIFXML,True,6,6,map,min_degree,3,963703000
20,testing/rand_bn_nodes_20_5.BIFXML,True,6,6,map,min_degree,4,989714000
25,testing/rand_bn_nodes_25_1.BIFXML,True,8,8,map,min_degree,0,6552957000
25,testing/rand_bn_nodes_25_1.BIFXML,True,8,8,map,min_degree,1,6375906000
25,testing/rand_bn_nodes_25_1.BIFXML,True,8,8,map,min_degree,2,5925037000
25,testing/rand_bn_nodes_25_1.BIFXML,True,8,8,map,min_degree,3,8081638000
25,testing/rand_bn_nodes_25_1.BIFXML,True,8,8,map,min_degree,4,9816249000
25,testing/rand_bn_nodes_25_2.BIFXML,True,8,8,map,min_degree,0,5726680000
25,testing/rand_bn_nodes_25_2.BIFXML,True,8,8,map,min_degree,1,4593870000
25,testing/rand_bn_nodes_25_2.BIFXML,True,8,8,map,min_degree,2,5579195000
25,testing/rand_bn_nodes_25_2.BIFXML,True,8,8,map,min_degree,3,5056334000
25,testing/rand_bn_nodes_25_2.BIFXML,True,8,8,map,min_degree,4,4936988000
25,testing/rand_bn_nodes_25_3.BIFXML,True,8,8,map,min_degree,0,1896490000
25,testing/rand_bn_nodes_25_3.BIFXML,True,8,8,map,min_degree,1,2338868000
25,testing/rand_bn_nodes_25_3.BIFXML,True,8,8,map,min_degree,2,2046694000
25,testing/rand_bn_nodes_25_3.BIFXML,True,8,8,map,min_degree,3,1862958000
25,testing/rand_bn_nodes_25_3.BIFXML,True,8,8,map,min_degree,4,1828932000
